আফ্রিকা	África
ক্লিফোর্ড গার্টস	Clifford Geertz
রাস্‌মুস রাস্ক	Rasmus Christian Rask
ব্র্যাড বার্ড	Brad Bird
জন ক্রেইগ ভেন্টার	Craig Venter
কুঞ্জলতা	Ipomoea quamoclit
জর্জ শ'	George Shaw
বরুণ	Crateva religiosa
কুতুবুদ্দিন আইবেক	Qutb-ud-din Aibak
নাইলোটিকা	Oreochromis niloticus
পল ইন্স	Paul Ince
সের্জি ব্রুগুয়েরা	Sergi Bruguera
পাথরকুচি	Kalanchoe pinnata
নসটক	Nostoc
ঢোল কলমি	Ipomoea carnea
আল হাসা মরূদ্যান	Al-Hasa
ম্যালাসেজিয়া ফারফার	Malassezia furfur
জন মাইকেল বিশপ	John Michael Bishop
উজ্জা	Uzza
তোস্তাঁউ	Tostão (futbolista)
ভাভা	Vavá
ডিজেল গাছ	Copaifera officinalis
রোনান কেটিং	Ronan Keating
পুন্নাগ	Calophyllum inophyllum
প্রথম মালিক শাহ	Malik Shah I
আবুল কাসিম আল জাহরাউয়ি	Abulcasis
মারিও জাগালো	Mário Zagallo
অনন্ত লতা	Antigonon leptopus
সাকি (লেখক)	Hector Hugh Munro
শোকো আসাহরা	Shōkō Asahara
ডনি ইয়েন	Donnie Yen
রুই	Labeo rohita
লিওনিদাস	Leônidas da Silva
পাফিন	Fratercula
মোহাম্মদ আবদুহ	Muhammad Abduh
ইন্ডিপেন্ডেন্ট স্পিরিট পুরস্কার	Premios Independent Spirit
আকরকাঁটা	Alangium
ক্রিস্টোফার ম্যাক্‌ক্যান্ড্‌লেস	Christopher McCandless
মাইক নিউয়েল (পরিচালক)	Mike Newell
কলকে ফুল	Thevetia peruviana
অ্যাকটিনোমাইসিটিস	Actinomyces
চিনি গাছ	Stevia (género)
অপরাজিতা	Clitoria ternatea
মালিক ইবনে আনাস	Malik ibn Anas
আজিজিয়া	Al Aziziya
ইডেন পার্ক	Eden Park
ডিডি	Didí
মেগাস্থিনিস	Megástenes
পরমহংস যোগানন্দ	Paramahansa Yogananda
কবীর	Kabir
অশ্বঘোষ	Asvaghosa
নাথুরাম গডসে	Nathuram Godse
মহেশ ভূপতি	Mahesh Bhupathi
বাল গঙ্গাধর তিলক	Bal Gangadhar Tilak
জেফ বেজোস	Jeff Bezos
ড্যানিয়েল ম্যাক্‌ফ্যাডেন	Daniel McFadden
জেমস হেক্‌ম্যান	James Heckman
ক্লাইভ গ্রেঞ্জার	Clive W. J. Granger
এডওয়ার্ড প্রেস্‌কট	Edward C. Prescott
কার্লো লেভি	Carlo Levi
মেগারার ইউক্লিড	Euclides de Megara
বিসক্রা	Biskra
ফ্রেড	Fred (futbolista)
ইমরান খান (অভিনেতা)	Imran Khan (actor)
ফ্রাঙ্ক মার্শাল (দাবাড়ু)	Frank Marshall
রবার্ট কিং মের্টন	Robert King Merton
জেরেমি ম্যাথিউ	Jérémy Mathieu
রাই	Raí
ক্যালিকো জ্যাক	Jack Rackham
ইউজিন পতিয়ে	Eugène Pottier
উইলিয়াম কেরি	William Carey
মির্যা গোলাম আহ্‌মেদ	Mirza Ghulam Ahmad
জন ফ্রাঙ্কলিন এন্ডারস	John Franklin Enders
ডিকিনসন ডাব্লিউ রিচার্ডস	Dickinson W. Richards
খান আবদুল গফফর খান	Khan Abdul Ghaffar Khan
গুরু গোবিন্দ সিংহ	Gurú Gobind Singh
তুলসীদাস	Tulsidas
ফিলিপ এ শার্প	Phillip Allen Sharp
ফা-হিয়েন	Fa Xian
জন আব্রাহাম (অভিনেতা)	John Abraham
উইলেম ডে সিটার	Willem de Sitter
ক্লাউদিও ব্রাভো	Claudio Bravo (futbolista)
জন গ্রিগ্‌স টম্পসন	John Griggs Thompson
সূর্যবর্মণ দ্বিতীয়	Suryavarman II
মানবেন্দ্রনাথ রায়	Manabendra Nath Roy
জোনাহ হিল	Jonah Hill
বার্থোলুমিউ রবার্টস	Bartholomew Roberts
ভিডিও ক্যামেরা	Cámara de vídeo
কোচবিহার	Koch Bihar
জর্জ সোরেল	Georges Sorel
ফিলিপ্‌ লার্কিন	Philip Larkin
হোর্হে কাম্পোস	Jorge Campos
জর্জ গ্রাহাম	George Graham (futbolista)
ভিনসেঞ্জো গ্যালিলি	Vincenzo Galilei
ভাসিলি গ্রসম্যান	Vasili Grossman
লুই ইয়েল্ম্‌স্লেভ	Louis Hjelmslev
জর্জ লেকফ	George Lakoff
হোর্হে বুরুচাগা	Jorge Burruchaga
জর্জ ওয়ালেস	George Wallace
নাইজেল শর্ট	Nigel Short
মেহদি মাহদাভিকিয়া	Mehdi Mahdavikia
ক্লাউদিয়ুস আইলিয়ানুস	Claudio Eliano
নিথেতো আলকালা-থামোরা	Niceto Alcalá-Zamora
ফ্রান মেরিদা	Fran Mérida
জন গুল্ড	John Gould
ডিন কেইন	Dean Cain
জেমস গ্রেগরি (জ্যোতির্বিজ্ঞানী)	James Gregory
অনিল কাপুর	Anil Kapoor
গর্ডন স্ট্র্যাচান	Gordon Strachan
জো	Jô
এডওয়ার্ড জুইক	Edward Zwick
জগদীশ চন্দ্র বসু	Jagdish Chandra Bose
জন ভিনসেন্ট আটানসফ	John Atanasoff
নেসার বারাযাইত	Nacer Barazite
আমর ইবনুল আস	Amr ibn al-As
গাজি, ইরাকের রাজা	Gazi I de Irak
তারিক আলি	Tariq Ali
দ্বিতীয় ইয়াজিদ	Yazid II
উসমান সেমবেন	Ousmane Sembène
জাভাদ নেকুউনাম	Javad Nekounam
ডেভিড ব্রিন	David Brin
ড্যানি সিম্পসন	Danny Simpson
ডং ফ্যাংঝুও	Dong Fangzhuo
এরিখ সেগাল	Erich Segal
স্টিফেন স্মেইল	Stephen Smale
থিওডোর হ্যারল্ড মাইম্যান	Theodore Harold Maiman
টমাস হ্যারিয়ট	Thomas Harriot
জঁ রোবের আরগঁ	Jean-Robert Argand
জন চার্লস ফিল্ডস	John Charles Fields
জর্জ ইউজিন উহলেনব্লেক	George Eugene Uhlenbeck
পুষ্পকমল দাহাল	Prachanda
বিন্দুসার	Bindusara
জেমস জিনস	James Hopwood Jeans
জুলিয়ান ড্রাক্সলার	Julian Draxler
জর্জ বৌল্যাঙ্গার	Georges Boulanger
সান্টাক্লজ	Papá Noel
হাসান সাবাহ	Hasan-i Sabbah
তালাত পাশা	Talat Pasha
মাসউদ বারজানি	Masud Barzani
ইউকিয়া আমানো	Yukiya Amano
হ্যারি নিকুইস্ট	Harry Nyquist
মাইকেল সোমারে	Michael Somare
জুয়ান লুইস ভিভেস	Juan Luis Vives
পেরুর ইতিহাস	Historia del Perú
নবম ক্রুসেড	Novena Cruzada
সীমানির্ধারণী সমস্যা	Problema de la demarcación
১৯৭৩ এর তেল সংকট	Crisis del petróleo de 1973
জামাল পাশা	Ahmed Cemal
ইন্টারন্যাশনাল কমার্স সেন্টার	International Commerce Centre
২০১৪ ফিফা বিশ্বকাপ বাছাইপর্ব	Clasificación para la Copa Mundial de Fútbol de 2014
পণ্য	Mercancía (economía)
ভিনসেন্ট ফেরের	Vicente Ferrer (santo)
ওজেন দুবোয়া	Eugène Dubois
এম আই-১৭	Mil Mi-17
মুন্সি আব্দুল করিম	Abdul Karim
মাটা মাটা	Chelus fimbriatus
উটাগাওয়া কুনিয়োশি	Utagawa Kuniyoshi
বিম্বিসার	Bimbisara
ফখরুদ্দিন আলি আহমেদ	Fakhruddin Alí Ahmed
জারমেইন জ্যাকসন	Jermaine Jackson
ডেনিস আরউইন	Denis Irwin
মারিও জার্দেল	Mário Jardel
চিলির কমিউনিস্ট পার্টি	Partido Comunista de Chile
ভিত্তোরিও পোজ্জো	Vittorio Pozzo
সার্হিও বাতিস্তা	Sergio Batista
২০০৮ গ্রীষ্মকালীন অলিম্পিকে ক্যানোয়িং	Anexo:Piragüismo en los Juegos Olímpicos de Pekín 2008
জন হার্ভার্ড	John Harvard
সিলবাস্সা	Silvassa
ডেট্রয়েট নদী	Río Detroit
শেলডন অ্যাডেলসন	Sheldon Adelson
ইবনে আন নাফীস	Ibn Nafis
জাস্টিন হয়ট	Justin Hoyte
পিটার এক্‌রয়েড	Peter Ackroyd
জেরেমি আলিয়াদিয়ের	Jérémie Aliadière
জেরি ফোডোর	Jerry Fodor
জেফ্রি স্যাক্স	Jeffrey Sachs
জনি হেইন্স	Johnny Haynes
চায়না মিয়েভিল্‌	China Miéville
ব্রেট র‌্যাটনার	Brett Ratner
ইয়াসের সেইরাওয়ান	Yasser Seirawan
কার্ল গাথ জান্‌স্কি	Karl Guthe Jansky
ইব্রাহিম আব্বুদ	Ibrahim Abbud
অকাল বীর্যপাত	Eyaculación precoz
জর্জ কেলি	George Cayley
মার্টিন কুপার	Martin Cooper
টিম ক্রিং	Tim Kring
চুকাই	Hibiscus sabdariffa
শহীদ কাপুর	Shahid Kapoor
রোম মাস্টার্স	Masters de Roma
জিয়ানলুকা পেসোত্তো	Gianluca Pessotto
ফার্মাকগনসি	Farmacognosia
মোরগের লড়াই	Pelea de gallos
র‍্যাম্বো:ফার্স্ট ব্লাড পার্ট ২	Rambo: First Blood Part II
জাপানের অর্থনীতি	Economía de Japón
মহাজাগতিক নীতি	Principio cosmológico
প্রতিপাদ স্থান	Antípodas
ড্যাফি ডাক	Pato Lucas
সংবৃত সম্মুখ প্রসারিত স্বরধ্বনি	Vocal cerrada anterior no redondeada
ওয়ারস' মেট্রো	Metro de Varsovia
দাগযুক্ত মাছরাঙা	Ceryle rudis
দেব আনন্দ	Dev Anand
দমেনিকো জাম্পিয়েরি	Domenico Zampieri
স্রোং-ব্ত্সন-স্গাম-পো	Songtsen Gampo
অতীশ দীপঙ্কর	Atisha
পেয়ারা	Psidium
ইয়েরেভান মেট্রো	Metro de Ereván
এস্তাদিও আজতেকা	Estadio Azteca
পুশ-আপ	Flexión de codos
ক্লোজ এনকাউন্টারস অফ দ্য থার্ড কাইন্ড	Close Encounters of the Third Kind
আদি শামির	Adi Shamir
অতিনবতারা ১৬০৪	SN 1604
লা কঙ্গোলাইস	La Congolaise
সামুদ্রিক অ্যাঞ্জেলফিশ পরিবার	Pomacanthidae
ভারতের সামরিক বাহিনী	Fuerzas Armadas de India
অ্যাবিয়েটিক অ্যাসিড	Ácido abiético
নিক পাওয়েল	Nick Powell
স্ক্যানিং ইলেক্ট্রন মাইক্রোস্কোপ	Microscopio electrónico de barrido
ফলিত ভাষাবিজ্ঞান	Lingüística aplicada
মারিয়ানো আন্দুহার	Mariano Andújar
পরিবেশ রসায়ন	Química ambiental
বোধিবৃক্ষ	Árbol de Bodhi
কোল্লাম	Kollam
জুছে টাওয়ার	Torre Juche
ওদালগুরি জেলা	Distrito de Udalguri
ভারতরত্ন	Bharat Ratna
অ্যাভেনজার্স	Los Vengadores
নোকিয়া সলিউশনস এবং নেটওয়ার্কস	Nokia Networks
অর্থশাস্ত্র	Artha-shastra
ঘি	Ghee
উইলিয়াম কিংডন ক্লিফোর্ড	William Kingdon Clifford
কিপ থর্ন	Kip Thorne
ত্সোং-খা-পা-ব্লো-ব্জাং-গ্রাগ্স-পা	Je Tsongkhapa
কস্তুরী	Almizcle
ভারতের সংস্কৃতি	Cultura de la India
পর্তুগীজ ভারত	India portuguesa
অল হেইল, লাইবেরিয়া, হেইল!	Himno nacional de Liberia
সারনাথ	Sarnath
ইন্টেল ৮০৮০	Intel 8080
কেল্টিক ফ্রস্ট	Celtic Frost
থানকুনি	Centella asiatica
প্রেসকট বুশ	Prescott Bush
লা লিগা	Primera División de España
ইনভার্টার	Inversor (electrónica)
আগির্‌রে, ডের ৎসর্ন গটেস	Aguirre, der Zorn Gottes
গ্রেগরি মারগুলিস	Grigori Margulis
ট্রু গ্রিট	True Grit (película de 2010)
২৭ ক্লাব	Club de los 27
আরপদ এলো	Árpád Emrick Élő
ট্রলার	Arrastrero
হেপাটাইটিস ই	Hepatitis E
ফিফা (ভিডিও গেম সিরিজ)	FIFA (serie)
ভিট্রেয়াস হিউমার	Humor vítreo
ওয়্যারলেস্‌ অ্যাক্সেস পয়েন্ট	Punto de acceso inalámbrico
দ্য টিউডরস	Los Tudor (serie de televisión)
থাউমাস	Taumante
আর্টিস্টিক জিমন্যাস্টিকস	Gimnasia artística
ইয়োহান গাল্টুঙ	Johan Galtung
বুরুন্ডি বওয়াকু	Himno nacional de Burundi
দি অ্যাডভেঞ্চার্স অফ টম সয়্যার	Las aventuras de Tom Sawyer
অকল্যান্ড দ্বীপপুঞ্জ	Islas Auckland
দ্বিতীয় বিশ্বযুদ্ধের ঘটনাপঞ্জি	Anexo:Cronología de la Segunda Guerra Mundial
ফিনল্যান্ডের সামরিক বাহিনী	Fuerzas Armadas de Finlandia
ডিসপ্লে	Visualizador
মাভেন	MAVEN
সোভিয়েত মহাকাশ কুকুর	Perros del programa espacial soviético
ফ্রিডরিশ ৎসান্ডার	Friedrich Zander
ষ্টেফান রয়টার	Stefan Reuter
মিশেল ব্রেআল	Michel Bréal
অ্যাবসার্ড	Absurd
ইমিগ্রেট	Emigrate
আন্তর্জাতিক শান্তি দিবস	Día Internacional de la Paz
ফোবিয়ার তালিকা	Anexo:Fobias
দ্য ক্যারাটে কিড (২০১০-এর চলচ্চিত্র)	The Karate Kid (película de 2010)
কুল (ফল)	Ziziphus mauritiana
বিশ্বশান্তি সূচক	Índice de Paz Global
মশাল	Antorcha
কাসের্তার প্রাসাদ	Palacio Real de Caserta
বোস কর্পোরেশন	Bose Corporation
ফুজি, শিজ্যুওকা	Fuji (Shizuoka)
ভারতের চলচ্চিত্র	Cine de la India
ভিসা ইনকর্পোরেটেড	Visa (tarjeta de crédito)
মৎস্য	Matsia (dios)
আইসল্যান্ডের শহর	Anexo:Ciudades y aldeas de Islandia
নাইট ভিশন ডিভাইস	Instrumento de visión nocturna
জটিল সমতল	Plano complejo
থান্ডারবোল্ট	Thunderbolt
বিভিন্ন ধর্ম	Teísmos
লুইজ গুস্তাভো	Luiz Gustavo
ভাষা পরিকল্পনা	Normalización lingüística
এফএন এফএএল এ্যাসাল্ট রাইফেল	FN FAL
দ্বিতীয় বিশ্বযুদ্ধে মিত্রশক্তি	Aliados de la Segunda Guerra Mundial
আব্রাহাম ক্রিসকোয়েস	Cresques Abraham
আব্রাহাম ডি বার্টলেট	Abraham Dee Bartlett
লেবাননের জাতীয় সঙ্গীত	Himno nacional de Líbano
মেলবোর্ন ক্রিকেট গ্রাউন্ড	Melbourne Cricket Ground
সর্বজনগ্রাহ্য হিসাববিজ্ঞান নীতিমালা	Principios de contabilidad generalmente aceptados
ঢাকা বিভাগ	Daca (división)
বেদব্যাস	Viasa
চন্দ্রবোড়া	Daboia russelii
ত্যাডং নদী	Taedong
ভারতীয় বিমানবাহিনী	Fuerza Aérea India
মাই নেম ইজ খান	Mi nombre es Khan
বৈকাল তিলিহাঁস	Anas formosa
এব্রাহাম জাপ্রুডার	Abraham Zapruder
ব্রুস পদক	Medalla Bruce
তানযিমাত	Tanzimat
নেপাল জাতীয় ফুটবল দল	Selección de fútbol de Nepal
শ্রুতি হাসান	Shruti Haasan
মালদোনাদো ডিপার্টমেন্ট	Departamento de Maldonado
কিরিচ	Kris
ক্রমবর্তী সিমপ্লেক্স	Símplex
ভীমবেটকা প্রস্তরক্ষেত্র	Abrigos rupestres de Bhimbetka
লর্ড’স ক্রিকেট গ্রাউন্ড	Lord's Cricket Ground
খানাট	Kanato
টহল জাহাজ	Buque patrullero
বেনজামিন হোর্ফ	Benjamin Lee Whorf
কাজুয়োশি মিউরা	Kazuyoshi Miura
জোয়ার	Sorghum bicolor
রোমুলো বেতানকুর্ত	Rómulo Betancourt
অ্যাবসিসিক অ্যাসিড	Ácido abscísico
বোরাক	Buraq
কারপাল টানেল সিন্ড্রোম	Síndrome del túnel carpiano
লেটার অব ইনটেন্ট	Carta de intención
দ্য টেইমিং অফ দ্য শ্রু	La fierecilla domada
সিডনি ওয়েব	Sidney Webb
বেনাস্টার টার্লেটন	Banastre Tarleton
ভিক্টোরিয়া’স সিক্রেট	Victoria's Secret
নিকোলাস আইলওয়ার্ড ভিগর্স	Nicholas Aylward Vigors
আহমেদ দিদাত	Ahmed Deedat
ফাউস্ত উপকথা	Fausto
দেশি সারস	Grus antigone
সনিক বুম	Explosión sónica
সারাংশ	Resumen documental
ফরিদ জাকারিয়া	Fareed Zakaria
মাইকেল ফ্রিডম্যান	Michael Hartley Freedman
গ্লেন মার্কাট	Glenn Murcutt
জাপানের ভূগোল	Geografía de Japón
নিজনি নভোগোরোদ মেট্রো	Metro de Nizhni Nóvgorod
রিকার্দো গাব্রিয়েল আলবারেস	Ricardo Gabriel Álvarez
উইলিয়াম থার্স্টন	William Thurston
সিয়াচেন হিমবাহ	Glaciar de Siachen
জাপানি লাল সেনা	Ejército Rojo Japonés
কার্টিস টি. ম্যাক্‌মালেন	Curtis T. McMullen
ইয়াহিয়া খান	Yahya Khan
এডউইন হাওয়ার্ড আর্মস্ট্রং	Edwin Armstrong
ওয়ারেন হেস্টিংস	Warren Hastings
ডেভিড মামফোর্ড	David Mumford
সাইমন ডোনাল্ডসন	Simon Donaldson
ভরতনাট্যম	Bharatanatyam
জন ল্যাথাম (পক্ষীবিদ)	John Latham
ভীমরুল	Vespa
ক্রাতুস	Cratos
অবিচুয়ারি	Obituary
অঘোষ পশ্চাদ্দন্তমূলীয় ঊষ্মধ্বনি	Fricativa postalveolar sorda
অঘোষ দন্তমূলীয় ঊষ্মধ্বনি	Fricativa alveolar sorda
শিং-টুং ইয়াউ	Shing-Tung Yau
হটস্পট (ওয়াই-ফাই)	Hotspot (telecomunicaciones)
পেপসিকো	PepsiCo
কাজী নজরুল ইসলাম	Kazi Nazrul Islam
শাম্মী কাপুর	Shammi Kapoor
আলি ইবনে আসির	Ali ibn al-Athir
বায়তুল্লাহ মেহসুদ	Baitullah Mehsud
আবু বকর ইবন আবী কুহাফা	Abu Bakr as-Siddiq
জয়দেব	Yaiádeva
উইলিয়াম নেলসন জয়	Bill Joy
হেনরি ব্রিগস	Henry Briggs
সোনালি মথুরা	Chrysolophus pictus
লিওনেল চার্লস রবিন্স	Lionel Robbins
রিচার্ড ওয়েলেসলি, প্রথম মার্কাস ওয়েলেসলি	Richard Wellesley, I marqués Wellesley
জর্জ এডেন	George Eden
রাহুল বসু	Rahul Bose
রামমোহন রায়	Ram Mohan Roy
জ্যোতি বসু	Jyoti Basu
স্যাটারিকন	Satyricon (banda)
মধ্ব	Madhva
তাফসির	Tafsir
আবু সুফিয়ান ইবনে হার্ব	Abu Sufyan ibn Harb
থিংভাৎলাভাত্‌ন হ্রদ	Þingvallavatn
সালতো	Salto (Uruguay)
ঘোষ দন্তমূলীয় স্পর্শধ্বনি	Oclusiva alveolar sonora
অঘোষ দন্তমূলীয় স্পর্শধ্বনি	Oclusiva alveolar sorda
শব্দিয় বর্ণমালা লিপি	Abugida
চার্লস হার্ডিঞ্জ	Charles Hardinge
মেটেঝুঁটি সারস	Balearica regulorum
এস্তাদিও ন্যাশিওন্যাল মানে গ্যারিঞ্চা	Estadio Mané Garrincha
ত্রি-আলফা প্রক্রিয়া	Proceso triple-alfa
ওর্থরুস	Ortro
পাউলি মেট্রিক্স	Matrices de Pauli
আনাল ঘরানা	Escuela de los Annales
মাদারল্যান্ড (অ্যানথাম)	Motherland
এমপেগ-১	MPEG-1
রক্ষণভাগের খেলোয়াড়	Defensa (fútbol)
পাঁসে তু ভো কোরা, ফ্রাপে লে বালাফোঁ	Himno nacional de Senegal
জাহাজ ভাঙ্গা শিল্প	Desguazado
হেল্লেন	Helén
আত্তিকো মেট্রো	Metro de Atenas
আবেদি পেলে	Abédi Pelé
মিডিয়াস্টিনাম	Mediastino
পাতি ময়না	Gracula religiosa
হেনরি ল্যান্সবারি	Henri Lansbury
ইভান স্যাগ	Ivan Sag
হাওয়ার্ড ডিন	Howard Dean
ঙ্গাগ-দ্বাং-র্নাম-র্গ্যাল (ভূটান)	Shabdrung Ngawang Namgyal
এরিক লামেলা	Erik Lamela
পিয়ত্র লাভরভ	Piotr Lavrov
ফার্মি ন্যাশনাল এক্সিলারেটর ল্যাবরেটরি	Fermilab
সোমদেব দেববর্মন	Somdev Devvarman
লেড এসিড ব্যাটারি	Batería de plomo y ácido
জনি ইংলিশ	Johnny English
প্রসঙ্গমুক্ত ব্যাকরণ	Gramática libre de contexto
রবার্ট জে. শিলার	Robert J. Shiller
নোলি দে কাস্ত্রো	Noli de Castro
উত্তর চব্বিশ পরগণা জেলা	Distrito de 24 Parganas norte
মাগুয়ারি মানিকজোড়	Ciconia maguari
ফাগুওয়ারা	Phagwara
ডায়নামো (দ্ব্যর্থতা নিরসন)	Dinamo
আক্‌সিওন দেমোক্রাতিকা	Acción Democrática
বিশ্ব প্রতিবন্ধী দিবস	Día Internacional de las Personas con Discapacidad
নোবেল পুরস্কারপ্রাপ্তদের তালিকা	Anexo:Ganadores del Premio Nobel
হিপি	Hippie
ফুলুরি হাঁস	Anas falcata
চিলড্রেন অব হেভেন	Bacheha-Ye aseman
মাধ্যম (যোগাযোগ)	Medio de comunicación
সৌরালোকে একটি ঠাঁই	Weltpolitik
অ্যাকনড্রাইট	Acondrita
দ্য দা ভিঞ্চি কোড (দ্ব্যর্থতা নিরসন)	El Código da Vinci (desambiguación)
ফরেস্ট গাম্প (দ্ব্যর্থতা নিরসন)	Forrest Gump (desambiguación)
আই.এইচ.এইচ. (তুর্কি এন.জি.ও.)	IHH
দিয়োনিসিয়ুস থ্রাক্স	Dionisio de Tracia
হামাদ আল-মোন্তাশারি	Hamad Al-Montashari
আর্চিবল্ড লিচ	Archibald Leitch
নবি স্টিলেস	Nobby Stiles
অ্যাকটিভিশন ব্লিজার্ড	Activision Blizzard
রজার বার্ন	Roger Byrne
রন অ্যাটকিনসন	Ron Atkinson
পান্না (মধ্য প্রদেশ)	Panna (desambiguación)
পিটার বেয়ার্ড্‌স্‌লি	Peter Beardsley
স্বপ্ন (দ্ব্যর্থতা নিরসন)	Dreams (desambiguación)
অস্কার রুগেরি	Oscar Ruggeri
পাভেল আক্সেলরদ	Pável Axelrod
উইল্মার ভালদেরামা	Wilmer Valderrama
রোডরানার	Roadrunner
ডেভিড ফিলো	David Filo
নিউক্লিয় প্রযুক্তি	Tecnología nuclear
আই লাভ ইউ (দ্ব্যর্থতা নিরসন)	I Love You
হাসান রুহানি	Hasán Rouhaní
টনি অ্যাবট	Tony Abbott
প্রথম হিশাম (কর্ডোবা)	Hisham I al-Ándalus
আকামাস (থেসেউসের পুত্র)	Acamante
গ্যারি নেভিল	Gary Neville
মন্টিনেগ্রোর সামরিক বাহিনী	Fuerzas Armadas de Montenegro
ডাগ লাইম্যান	Doug Liman
অ্যাডাম গিলক্রিস্ট	Adam Gilchrist
শাটার স্পিড	Velocidad de obturación
মেল ব্ল্যাংক	Mel Blanc
ইয়ুতাকা তানিয়ামা	Yutaka Taniyama
ধনু (জ্যোতিষশাস্ত্র)	Sagitario
আদামাওয়া-উবাঙ্গি ভাষাসমূহ	Lenguas Adamawa-Ubangui
তাত্ত্বিক ভাষাবিজ্ঞান	Lingüística teórica
স্যামুয়েল বেল্লামি	Samuel Bellamy
চার্লস কিংসলে (লেখক)	Charles Kingsley
গোরো শিমুরা	Gorō Shimura
রেওয়া	Rewa
জারি গান	Jari
ফ্রান্সেস ফেরের ই গার্ডিয়া	Francisco Ferrer Guardia
ঔরঙ্গাবাদ, বিহার	Aurangabad
অক্ষ (দ্ব্যর্থতা নিরসন)	Axis
বোদ	Boda (desambiguación)
পিক্সেল	Píxel
মিশেল আফলাক	Michel Aflaq
ভারতীয় সেনাবাহিনী	Ejército de la India
অগ্র পিটুইটারি	Adenohipófisis
মার্ক হ্যাডোন্‌	Mark Haddon
ভারতীয় নৌবাহিনী	Armada India
প্রথম মুহাম্মদ (কর্ডোবা)	Muhammad I de Córdoba
হেরার্দো মার্তিনো	Gerardo Martino
আদিনা মসজিদ	Mezquita de Adina
নরম্যান জোসেফ উডল্যান্ড	Norman Joseph Woodland
লাসলো লোভাশ	László Lovász
উইলিয়াম লাবভ	William Labov
ড্যানিয়েল পার্ল	Daniel Pearl
হার্নান্দো ডি সোতো	Hernando de Soto Polar
মেহেরান করিমী নাসেরি	Mehran Karimi Nasseri
মাইকেল ডি গ্রিফিন	Michael Griffin
স্যামুয়েল পিয়েরপন্ট ল্যাংলি	Samuel Pierpont Langley
মাইকেল র‍্যাবিন	Michael Oser Rabin
উইলবার স্মিথ	Wilbur Smith
জুলিয়ান লেনন	Julian Lennon
জেফ্রি ডেভার	Jeffery Deaver
গ্রেগরি বেনফোর্ড	Gregory Benford
ডন সিজেল	Don Siegel
তরলীকৃত প্রাকৃতিক গ্যাস	Gas natural licuado
আন্দোনি গইকোয়চিয়া	Andoni Goikoetxea
রাফায়েল বোমবেল্লি	Rafael Bombelli
অ্যাডওয়ার্ড ব্লাইদ	Edward Blyth
বিলাসপুর (হরিয়ানা)	Bilaspur
পেদ্রো রবার্তো সিলভা বোতেলহো	Pedro Botelho
ইউজিন ফামা	Eugene Fama
সামানা	Samana
অ্যাডোবি প্রিমিয়ার	Adobe Premiere Pro
নিক হলোনিয়াক	Nick Holonyak
শিনজি ওনো	Shinji Ono
ইরফান খান	Irrfan Khan
চিয়ান	Ji'an
জোয়ানট মার্টোরেল	Joanot Martorell
পেড্রো দে বেটানকোর্ট	Pedro de San José Betancur
ফার্সি সাহিত্য	Literatura persa
আমারাহ	Amara (Irak)
সুলতান মুহাম্মদ শাহ আগা খান	Aga Khan III
আদুর গোপালকৃশনান	Adoor Gopalakrishnan
ক্লাইভ কাসলার	Clive Cussler
রেন মেট্রো	Metro de Rennes
ইবনে জুবায়ের	Ibn Yubair
সালমান বিন আবদুল আজিজ	Salmán bin Abdulaziz
পেরিতো মোরেনো হিমবাহ	Glaciar Perito Moreno
অ্যাংলো-ইন্ডিয়ান	Anglo-indio
হামেস রদ্রিগেজ	James Rodríguez
ফিফা বিশ্বকাপ পুরস্কার	Premios de la Copa Mundial de Fútbol
প্রিন্স অফ ওয়েল্‌স অন্তরীপ	Cabo Príncipe de Gales
ব্ল্যাক উইডো (কমিকস)	Viuda Negra (cómic)
গণনামূলক রসায়ন	Química computacional
সাদা-ভ্রূ লেজনাচানি	Rhipidura aureola
রজম	Rajm
ভ্লাদিমির ভয়েভদস্কি	Vladímir Voyevodski
খাজা নাজিমুদ্দিন	Khawaja Nazimuddin
ইউনিভার্সাল কপিরাইট কনভেনশন	Convención Universal sobre Derecho de Autor
জন স্টুয়ার্ট বেল	John S. Bell
স্যুটস (টিভি ধারাবাহিক)	Suits
নাথান রোসেন	Nathan Rosen
দিল চাহতা হ্যায়	Dil Chahta Hai
মারিও সুয়ারেজ	Mario Suárez
বুদ্ধাব্দ	Calendario budista
অন্ধবিন্দু	Punto ciego
ভৌগলিক ভাষাবিজ্ঞান	Geografía lingüística
বাংলাদেশের স্বাধীনতা যুদ্ধ	Guerra de Liberación de Bangladés
কিউবার কমিউনিস্ট পার্টি	Partido Comunista de Cuba
নেপালের জাতীয় সঙ্গীত	Sayaun Thunga Phool Ka
রামদুর্গ	Ramdurg
ঝুঁটিত্তয়ালা মাছরাঙা	Megaceryle lugubris
প্যারা হরিণ	Axis porcinus
কাউন্সিল অন টল বিল্ডিংস এন্ড আর্বান হ্যাবিটেট	Consejo de Edificios Altos y Hábitat Urbano
অপঘর্ষক	Abrasivo
রোবোকপ	RoboCop
রায়পুর	Raipur
ফরচুন	Fortune (revista)
ফলিত পদার্থবিজ্ঞান	Física aplicada
কালোমাথা কাস্তেচরা	Threskiornis melanocephalus
উয়েফা ক্লাব ফুটবল খেতাব	Anexo:Premios del Año de la UEFA
আদ্রিয়ান লামো	Adrian Lamo
