非洲	África
分類:Thiên-vùn-ho̍k	Categoría:Astronomía
Khakassia Khiung-fò-koet	Jakasia
Irkutsk-chû	Óblast de Irkutsk
Sakha Khiung-fò-koet	República de Sajá
Khiet-lò-âi-sî-â-ngî	Idioma croata
Hon-pó	Hamburguesa
Buryatia Khiung-fò-koet	Buriatia
Vû-làn Vû-tet	Ulán-Udé
Amur-chû	Óblast de Amur
Ngi-sṳ̍p Sṳ-ki	Siglo XX
Gotha	Gotha
Dijon	Dijon
Kâ-thai-lò-nì-â-ngî	Idioma catalán
Nordhausen	Nordhausen
Kit-lò-na̍p-sén	Gerona
Eisenach	Eisenach
Se-pâu Sâng-vu̍t-ho̍k	Biología celular
Sṳ-kie Ngiùn-hòng Si̍p-thòn	Banco Mundial
A-la-pak Liên-mên	Liga Árabe
Mìn-tsú Tsú-ngi	Democracia
Chhîn-chhèu (秦朝)	Dinastía Qin
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	OTAN
Chhìn Sṳ Fòng	Qin Shi Huang
Hon-chhèu	Dinastía Han
Hon Vú-ti Liù Chha̍t	Emperador Wu
Sâng-vu̍t	Ser vivo
Kiûn-chú-chṳ	Monarquía
Khiung-fò-koet	República
Yí-mô-khiù	Bádminton
Ngièn-chhèu	Dinastía Yuan
Nazi Tet-koet	Alemania nazi
Yù-thai-ngìn	Pueblo judío
Chang Fò	Zheng He
Chìn-chhèu	Dinastía Jin (265-420)
Ngí	Oído
Phi	Nariz
Ngién	Ojo
Mûn-é	Culicidae
Mièn-yòng	Ovis orientalis aries
Lo̍k-thò	Camelus
Phú-nen thung-vu̍t	Mammalia
Ngie-kûng	Formicidae
Phûng-é	Anthophila
Hò-làn-ngî	Idioma neerlandés
Fà-thi̍t Thit-sṳ-nì Kûng-sṳ̂	The Walt Disney Company
Thot-yong Fu̍t-thông Fu̍t-son	Ácido desoxirribonucleico
Khiô	Solanum melongena
Siet	Nieve
Â-pâ	Padre
